video_id,title,channel,category,publish_time,views,likes,comments,link
65j6Dp-uo08,#Video | लुगवा ओढ़ के चले | #Aashish Yadav | Lugawa Odh Ke Chale | New #Magahi Song | #Wave Music,Wave Music,Music,2025-07-28T01:15:00Z,580261,17902,659,https://www.youtube.com/watch?v=65j6Dp-uo08
vzeuueHCNkE,🔴 FREE FIRE LIVE👻GARENA FREE FIRE💀GUILD TEST LIVE !! GAMING NINJA #fflive #shortslive #ff #shorts,NINJA TIME,Gaming,2025-07-29T19:19:57Z,716932,10137,2,https://www.youtube.com/watch?v=vzeuueHCNkE
W_khBdqN-bs,నాగుల పంచమి స్పెషల్ భక్తి పాటలు || నాగరాజు అమృత వర్షిని || Nagula Panchami Special Bhakti Songs,Maha Mantram - మహా మంత్రం ,Music,2025-07-28T23:30:08Z,88084,503,20,https://www.youtube.com/watch?v=W_khBdqN-bs
aGqs-IrBeWM,PMWC at EWC Survival Stage Day-1 | English Co-stream #gameशुरू,MortaL,Gaming,2025-07-29T15:47:09Z,352555,21095,85,https://www.youtube.com/watch?v=aGqs-IrBeWM
SdhIsFBeZio,नाग पंचमी - नाग पंचमी का त्यौहार आया  | Naag Panchmi Ka Aaya  | Naag Panchami Song | Shiv Bhajan,Upasana Mehta Bhajan,Music,2025-07-28T12:30:37Z,109161,615,27,https://www.youtube.com/watch?v=SdhIsFBeZio
eZdNm3mquzQ,3.9 UPDATE IS HERE IN BGMI SOLO VS SQUAD🔥 #bgmi #bgmilive #shortsfeed #shortslive,NeonXPawanOP,Gaming,2025-07-29T19:13:18Z,365443,5319,0,https://www.youtube.com/watch?v=eZdNm3mquzQ
gsM0YSX_fqA,"Duniya Alag | Dhadak 2 | Siddhant C, Triptii Dimri | Arijit Singh, Shreyas P, Siddharth-Garima",Zee Music Company,Music,2025-07-28T10:30:01Z,10033403,65081,2141,https://www.youtube.com/watch?v=gsM0YSX_fqA
dnUK1fXElqQ,Franklin Trying To Save His House From Tsunami In GTA 5 | SHINCHAN and CHOP,HAMID-T GAMING,Gaming,2025-07-29T09:01:02Z,350464,5181,1007,https://www.youtube.com/watch?v=dnUK1fXElqQ
aRMle9Uwrf0,"तीसरा सावन बुधवार स्पेशल- संकट हर लो मंगल कर दो, सावन की बरसे रिमझिम फुहार, आये गजानन गौरा जी #sawan",Ganga Devotional,People & Blogs,2025-07-29T22:15:00Z,32861,227,11,https://www.youtube.com/watch?v=aRMle9Uwrf0
PKE0XyJQsms,"I WON $100,000 IN SQUID GAME",Techno Gamerz,Gaming,2025-07-26T03:30:13Z,6168257,215969,12487,https://www.youtube.com/watch?v=PKE0XyJQsms
n3_5yt8F6Ew,Bilanchi Nagin Nighali (SoundCheck) DJ Shubham K | Bilanchi Nagin Nighali Marathi Song Dj Remix,DJ Shubham K Official,Music,2025-07-29T05:30:06Z,67050,785,18,https://www.youtube.com/watch?v=n3_5yt8F6Ew
trqnzE0Rgks,DASH GOT SICK AND NOBODY CARES !!!!,Dash Empire,Gaming,2025-07-29T13:50:58Z,202172,3072,172,https://www.youtube.com/watch?v=trqnzE0Rgks
wrKVpcXSqY4,नागपंचमी स्पेशल 🐍 Nagpanchmi Nonstop Marathi Songs 2025 🕉️ नागदेवतेची भक्तीमय गाणी 🙏नागपंचमी 2025,Ultra Devotional Marathi ,Music,2025-07-28T23:01:02Z,74865,208,2,https://www.youtube.com/watch?v=wrKVpcXSqY4
sx_PvQJ5vKc,Franklin Saving His House From Zombie Brainrots In Indian Bike Driving 3D,HandsomeGamer,People & Blogs,2025-07-28T01:30:32Z,594844,0,76,https://www.youtube.com/watch?v=sx_PvQJ5vKc
CQSzGF9VAak,Ekka Maar Video Song | EKKA | Yuva Rajkumar | Rohit Padaki | Charan raj,Anand Audio,Entertainment,2025-07-28T11:48:20Z,159147,7720,239,https://www.youtube.com/watch?v=CQSzGF9VAak
shz7auiKBZY,i Found Scariest TUNG TUNG 😱 in Minecraft | Minecraft Horror |,Prabu,People & Blogs,2025-07-29T12:50:12Z,159214,675,10,https://www.youtube.com/watch?v=shz7auiKBZY
5UltQDC33AQ,बुधवार के दिन सभी ग्रहों से मुक्ति दिलाएगा ये #सुंदरकाण्ड पाठ मात्र 30 मिनट सुन लेना ~ #sundarkand,Mantra Ucharan,Music,2025-07-29T21:30:01Z,28936,458,55,https://www.youtube.com/watch?v=5UltQDC33AQ
